year,sex,school_id,school_name,enrolment
2018,MF,12,Singapore Institute of Technology,6951.0
2019,F,12,Singapore Institute of Technology,3128.0
2019,MF,12,Singapore Institute of Technology,7714.0
2020,F,12,Singapore Institute of Technology,3423.0
2020,MF,12,Singapore Institute of Technology,8201.0
2021,F,12,Singapore Institute of Technology,3725.0
2021,MF,12,Singapore Institute of Technology,9015.0
2022,F,12,Singapore Institute of Technology,4062.0
2022,MF,12,Singapore Institute of Technology,9688.0
2023,F,12,Singapore Institute of Technology,4416.0
2023,MF,12,Singapore Institute of Technology,10380.0
2024,F,12,Singapore Institute of Technology,4417.0
2024,MF,12,Singapore Institute of Technology,10811.0
2012,F,16,Singapore University of Technology and Design,149.0
2012,MF,16,Singapore University of Technology and Design,327.0
2013,F,16,Singapore University of Technology and Design,249.0
2013,MF,16,Singapore University of Technology and Design,583.0
2014,F,16,Singapore University of Technology and Design,363.0
2014,MF,16,Singapore University of Technology and Design,886.0
2015,F,16,Singapore University of Technology and Design,522.0
2015,MF,16,Singapore University of Technology and Design,1235.0
2016,F,16,Singapore University of Technology and Design,551.0
2016,MF,16,Singapore University of Technology and Design,1381.0
2017,F,16,Singapore University of Technology and Design,603.0
2017,MF,16,Singapore University of Technology and Design,1545.0
2018,F,16,Singapore University of Technology and Design,626.0
2018,MF,16,Singapore University of Technology and Design,1658.0
2019,F,16,Singapore University of Technology and Design,624.0
2019,MF,16,Singapore University of Technology and Design,1730.0
2020,F,16,Singapore University of Technology and Design,518.0
2020,MF,16,Singapore University of Technology and Design,1406.0
2021,F,16,Singapore University of Technology and Design,534.0
2021,MF,16,Singapore University of Technology and Design,1429.0
2022,F,16,Singapore University of Technology and Design,502.0
2022,MF,16,Singapore University of Technology and Design,1409.0
2023,F,16,Singapore University of Technology and Design,706.0
2023,MF,16,Singapore University of Technology and Design,1915.0
2024,F,16,Singapore University of Technology and Design,699.0
2024,MF,16,Singapore University of Technology and Design,1969.0
2014,F,15,Singapore University of Social Sciences,145.0
2014,MF,15,Singapore University of Social Sciences,217.0
2015,F,15,Singapore University of Social Sciences,330.0
2015,MF,15,Singapore University of Social Sciences,489.0
2016,F,15,Singapore University of Social Sciences,609.0
2016,MF,15,Singapore University of Social Sciences,896.0
2017,F,15,Singapore University of Social Sciences,1011.0
2017,MF,15,Singapore University of Social Sciences,1451.0
2018,F,15,Singapore University of Social Sciences,1399.0
2018,MF,15,Singapore University of Social Sciences,2049.0
2019,F,15,Singapore University of Social Sciences,1683.0
2019,MF,15,Singapore University of Social Sciences,2601.0
2020,F,15,Singapore University of Social Sciences,2014.0
2020,MF,15,Singapore University of Social Sciences,3153.0
2021,F,15,Singapore University of Social Sciences,2312.0
2021,MF,15,Singapore University of Social Sciences,3656.0
2022,F,15,Singapore University of Social Sciences,2394.0
2022,MF,15,Singapore University of Social Sciences,3910.0
2023,F,15,Singapore University of Social Sciences,2459.0
2023,MF,15,Singapore University of Social Sciences,3998.0
2024,F,15,Singapore University of Social Sciences,2570.0
2024,MF,15,Singapore University of Social Sciences,4154.0
1982,F,8,National Institute of Education,808.0
1982,MF,8,National Institute of Education,1000.0
1983,F,8,National Institute of Education,853.0
1983,MF,8,National Institute of Education,1078.0
1984,F,8,National Institute of Education,605.0
1984,MF,8,National Institute of Education,776.0
1985,F,8,National Institute of Education,922.0
1985,MF,8,National Institute of Education,1166.0
1986,F,8,National Institute of Education,1093.0
1986,MF,8,National Institute of Education,1331.0
1987,F,8,National Institute of Education,1085.0
1987,MF,8,National Institute of Education,1306.0
1988,F,8,National Institute of Education,849.0
1988,MF,8,National Institute of Education,1058.0
1989,F,8,National Institute of Education,1032.0
1989,MF,8,National Institute of Education,1337.0
1990,F,8,National Institute of Education,1212.0
1990,MF,8,National Institute of Education,1577.0
1991,F,8,National Institute of Education,1336.0
1991,MF,8,National Institute of Education,1676.0
1992,F,8,National Institute of Education,1189.0
1992,MF,8,National Institute of Education,1559.0
1993,F,8,National Institute of Education,1287.0
1993,MF,8,National Institute of Education,1700.0
1994,F,8,National Institute of Education,1019.0
1994,MF,8,National Institute of Education,1394.0
1995,F,8,National Institute of Education,997.0
1995,MF,8,National Institute of Education,1341.0
1996,F,8,National Institute of Education,1507.0
