year,sex,school_id,school_name,graduates
1997,MF,8,National Institute of Education,1597.0
1998,F,8,National Institute of Education,997.0
1998,MF,8,National Institute of Education,1421.0
1999,F,8,National Institute of Education,1175.0
1999,MF,8,National Institute of Education,1653.0
2000,F,8,National Institute of Education,1681.0
2000,MF,8,National Institute of Education,2445.0
2001,F,8,National Institute of Education,1418.0
2001,MF,8,National Institute of Education,2022.0
2002,F,8,National Institute of Education,1570.0
2002,MF,8,National Institute of Education,2186.0
2003,F,8,National Institute of Education,1965.0
2003,MF,8,National Institute of Education,2772.0
2004,F,8,National Institute of Education,1430.0
2004,MF,8,National Institute of Education,1989.0
2005,F,8,National Institute of Education,1341.0
2005,MF,8,National Institute of Education,2020.0
2006,F,8,National Institute of Education,1416.0
2006,MF,8,National Institute of Education,2096.0
2007,F,8,National Institute of Education,1590.0
2007,MF,8,National Institute of Education,2348.0
2008,F,8,National Institute of Education,1486.0
2008,MF,8,National Institute of Education,2188.0
2009,F,8,National Institute of Education,1492.0
2009,MF,8,National Institute of Education,2179.0
2010,F,8,National Institute of Education,1622.0
2010,MF,8,National Institute of Education,2416.0
2011,F,8,National Institute of Education,1626.0
2011,MF,8,National Institute of Education,2415.0
2012,F,8,National Institute of Education,1538.0
2012,MF,8,National Institute of Education,2255.0
2013,F,8,National Institute of Education,1447.0
2013,MF,8,National Institute of Education,2178.0
2014,F,8,National Institute of Education,1125.0
2014,MF,8,National Institute of Education,1732.0
2015,F,8,National Institute of Education,1328.0
2015,MF,8,National Institute of Education,1880.0
2016,F,8,National Institute of Education,1076.0
2016,MF,8,National Institute of Education,1628.0
2017,F,8,National Institute of Education,899.0
2017,MF,8,National Institute of Education,1292.0
2018,F,8,National Institute of Education,843.0
2018,MF,8,National Institute of Education,1153.0
2019,F,8,National Institute of Education,939.0
2019,MF,8,National Institute of Education,1339.0
2020,F,8,National Institute of Education,1000.0
2020,MF,8,National Institute of Education,1390.0
2021,F,8,National Institute of Education,950.0
2021,MF,8,National Institute of Education,1327.0
2022,F,8,National Institute of Education,817.0
2022,MF,8,National Institute of Education,1192.0
2023,F,8,National Institute of Education,960.0
2023,MF,8,National Institute of Education,1374.0
2024,F,8,National Institute of Education,842.0
2024,MF,8,National Institute of Education,1184.0
1983,F,14,Singapore Polytechnic,316.0
1983,MF,14,Singapore Polytechnic,1624.0
1984,F,14,Singapore Polytechnic,371.0
1984,MF,14,Singapore Polytechnic,1773.0
1985,F,14,Singapore Polytechnic,410.0
1985,MF,14,Singapore Polytechnic,1862.0
1986,F,14,Singapore Polytechnic,494.0
1986,MF,14,Singapore Polytechnic,2258.0
1987,F,14,Singapore Polytechnic,677.0
1987,MF,14,Singapore Polytechnic,2540.0
1988,F,14,Singapore Polytechnic,674.0
1988,MF,14,Singapore Polytechnic,2645.0
1989,F,14,Singapore Polytechnic,702.0
1989,MF,14,Singapore Polytechnic,2594.0
1990,F,14,Singapore Polytechnic,1011.0
1990,MF,14,Singapore Polytechnic,3112.0
1991,F,14,Singapore Polytechnic,1030.0
1991,MF,14,Singapore Polytechnic,3103.0
1992,F,14,Singapore Polytechnic,1261.0
1992,MF,14,Singapore Polytechnic,3502.0
1993,F,14,Singapore Polytechnic,1472.0
1993,MF,14,Singapore Polytechnic,3978.0
1994,F,14,Singapore Polytechnic,1664.0
1994,MF,14,Singapore Polytechnic,4241.0
1995,F,14,Singapore Polytechnic,1762.0
1995,MF,14,Singapore Polytechnic,4251.0
1996,F,14,Singapore Polytechnic,1615.0
1996,MF,14,Singapore Polytechnic,4121.0
1997,F,14,Singapore Polytechnic,1671.0
1997,MF,14,Singapore Polytechnic,4233.0
1998,F,14,Singapore Polytechnic,1510.0
1998,MF,14,Singapore Polytechnic,4001.0
1999,F,14,Singapore Polytechnic,1552.0
1999,MF,14,Singapore Polytechnic,4016.0
2000,F,14,Singapore Polytechnic,1619.0
2000,MF,14,Singapore Polytechnic,3974.0
2001,F,14,Singapore Polytechnic,1683.0
2001,MF,14,Singapore Polytechnic,3958.0
2002,F,14,Singapore Polytechnic,1604.0
2002,MF,14,Singapore Polytechnic,3955.0
2003,F,14,Singapore Polytechnic,1653.0
2003,MF,14,Singapore Polytechnic,3981.0
2004,F,14,Singapore Polytechnic,1871.0
2004,MF,14,Singapore Polytechnic,4504.0
2005,F,14,Singapore Polytechnic,1821.0
2005,MF,14,Singapore Polytechnic,4537.0
2006,F,14,Singapore Polytechnic,1574.0
2006,MF,14,Singapore Polytechnic,4103.0
2007,F,14,Singapore Polytechnic,1532.0
2007,MF,14,Singapore Polytechnic,3953.0
2008,F,14,Singapore Polytechnic,1644.0
2008,MF,14,Singapore Polytechnic,4250.0
2009,F,14,Singapore Polytechnic,1610.0
2009,MF,14,Singapore Polytechnic,4334.0
2010,F,14,Singapore Polytechnic,1700.0
2010,MF,14,Singapore Polytechnic,4627.0
2011,F,14,Singapore Polytechnic,1982.0
2011,MF,14,Singapore Polytechnic,4921.0
2012,F,14,Singapore Polytechnic,2060.0
2012,MF,14,Singapore Polytechnic,5016.0
2013,F,14,Singapore Polytechnic,2141.0
2013,MF,14,Singapore Polytechnic,5082.0
2014,F,14,Singapore Polytechnic,1995.0
2014,MF,14,Singapore Polytechnic,5026.0
2015,F,14,Singapore Polytechnic,1988.0
2015,MF,14,Singapore Polytechnic,5057.0
2016,F,14,Singapore Polytechnic,1984.0
2016,MF,14,Singapore Polytechnic,5007.0
2017,F,14,Singapore Polytechnic,2000.0
2017,MF,14,Singapore Polytechnic,4924.0
2018,F,14,Singapore Polytechnic,1809.0
2018,MF,14,Singapore Polytechnic,4380.0
2019,F,14,Singapore Polytechnic,1724.0
2019,MF,14,Singapore Polytechnic,4389.0
2020,F,14,Singapore Polytechnic,1853.0
2020,MF,14,Singapore Polytechnic,4619.0
2021,F,14,Singapore Polytechnic,1758.0
2021,MF,14,Singapore Polytechnic,4484.0
2022,F,14,Singapore Polytechnic,1699.0
2022,MF,14,Singapore Polytechnic,4300.0
2023,F,14,Singapore Polytechnic,1554.0
2023,MF,14,Singapore Polytechnic,3884.0
2024,F,14,Singapore Polytechnic,1473.0
2024,MF,14,Singapore Polytechnic,3814.0
1983,F,10,Ngee Ann Polytechnic,343.0
1983,MF,10,Ngee Ann Polytechnic,928.0
1984,F,10,Ngee Ann Polytechnic,456.0
1984,MF,10,Ngee Ann Polytechnic,1293.0
1985,F,10,Ngee Ann Polytechnic,589.0
